sessNo,trialNo,block,blockTrialNo,trialClass,blockBin,stim1_High,stim2_High,stimHigh,stim1_left,leftStim,rightStim,stim1_pWin,stim2_pWin,reverseStatus,reverseTrial,responseKey,response_LR,selected_stim1,selected_stim2,response_stimID,RT,highChosen,stim1_isWin,stim2_isWin,isWin,payOut,accum_payOut,abs_outMag,instructCond,subID
1,1,1.0,1.0,early,1.0,False,True,2,True,1,2,0.35,0.65,False,False,1.0,left,1.0,0.0,1,0.969935593000173,False,0.0,nan,0,-0.5,-0.5,0.5,hm,2
1,2,1.0,2.0,early,1.0,False,True,2,True,1,2,0.35,0.65,False,False,4.0,right,0.0,1.0,2,0.5465844430000288,True,nan,0.0,0,-0.75,-1.25,0.75,hm,2
1,3,1.0,3.0,early,1.0,False,True,2,True,1,2,0.35,0.65,False,False,1.0,left,1.0,0.0,1,0.9222386309998001,False,0.0,nan,0,-0.75,-2.0,0.75,hm,2
1,4,1.0,4.0,early,1.0,False,True,2,False,2,1,0.35,0.65,False,False,1.0,left,0.0,1.0,2,0.5351159890001327,True,nan,1.0,1,0.75,-1.25,0.75,hm,2
1,5,1.0,5.0,early,1.0,False,True,2,False,2,1,0.35,0.65,False,False,1.0,left,0.0,1.0,2,0.5789799299996048,True,nan,0.0,0,-0.5,-1.75,0.5,hm,2
1,6,1.0,6.0,early,2.0,False,True,2,True,1,2,0.35,0.65,False,False,4.0,right,0.0,1.0,2,0.6392700330002299,True,nan,0.0,0,-0.5,-2.25,0.5,hm,2
1,7,1.0,7.0,late,2.0,False,True,2,True,1,2,0.35,0.65,True,False,1.0,left,1.0,0.0,1,0.5577291509998759,False,0.0,nan,0,-0.25,-2.5,0.25,hm,2
1,8,1.0,8.0,late,2.0,False,True,2,False,2,1,0.35,0.65,True,False,4.0,right,1.0,0.0,1,0.9044553060002727,False,1.0,nan,1,0.5,-2.0,0.5,hm,2
1,9,1.0,9.0,late,2.0,False,True,2,True,1,2,0.35,0.65,True,False,1.0,left,1.0,0.0,1,0.7715990540000348,False,0.0,nan,0,-0.25,-2.25,0.25,hm,2
1,10,1.0,10.0,late,2.0,False,True,2,True,1,2,0.35,0.65,True,False,1.0,left,1.0,0.0,1,0.4745164460000524,False,0.0,nan,0,-0.75,-3.0,0.75,hm,2
1,11,1.0,11.0,late,3.0,False,True,2,True,1,2,0.35,0.65,True,False,1.0,left,1.0,0.0,1,0.6786700819998259,False,1.0,nan,1,0.5,-2.5,0.5,hm,2
